house_id,price_act,price_first,advertiser,type,nbhood,street,st_number,sq_m,bedrooms,bathrooms,const_year,floor,lift,balcony,air_con,ft_wardrobes,terrace,exterior,heating
96819198,138000.0,138000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,60.0,1.0,1.0,2010.0,0.0,1,0,0,1,0,0,no
96804319,99900.0,99900.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,45.0,2.0,1.0,,2.0,0,1,0,1,0,1,no
96759399,112000.0,112000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,64.0,2.0,1.0,1964.0,0.0,0,0,1,1,0,1,no
96738876,138000.0,138000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,70.0,3.0,1.0,1969.0,3.0,1,0,0,0,0,1,no
96792112,180000.0,180000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,73.0,2.0,1.0,1994.0,0.0,0,0,1,0,0,0,no
96783713,158000.0,158000.0,Professional advertiser,flat / apartment ,zona laguna,unknown,,66.0,3.0,1.0,,3.0,0,0,0,0,0,1,no
96772159,420000.0,420000.0,Professional advertiser,flat / apartment ,playa victoria,avenida ana de viya,,145.0,3.0,2.0,1960.0,1.0,1,0,0,1,1,1,no
84471250,190000.0,190000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,112.0,4.0,1.0,1942.0,3.0,0,1,0,0,0,1,no
96714027,470000.0,470000.0,Private owner,flat / apartment ,zona bahia blanca,calle santa cruz de tenerife,8.0,180.0,4.0,2.0,,4.0,1,0,0,1,1,1,no
96714469,185000.0,185000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,85.0,3.0,1.0,,1.0,0,1,0,0,0,1,no
88712665,415000.0,415000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,144.0,3.0,2.0,2000.0,2.0,1,0,1,1,1,1,no
96661717,165000.0,165000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,85.0,3.0,1.0,1973.0,7.0,1,0,0,0,1,1,no
96652837,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,160.0,7.0,3.0,1968.0,1.0,1,0,0,1,1,1,no
96618454,160000.0,160000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,42.0,1.0,1.0,,0.0,1,0,0,1,1,0,no
96613039,205000.0,205000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,130.0,2.0,2.0,,0.0,0,0,0,0,0,1,no
96612994,165000.0,165000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,85.0,3.0,1.0,1973.0,7.0,1,0,0,0,1,1,no
