house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
95003224,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"200,000","200,000","['95 m² built, 78 m² floor area', '3 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2001', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
94991359,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"170,000","170,000","['98 m² built, 72 m² floor area', '2 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2021', 'Access adapted for persons with reduced mobility', 'Ground floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
94643365,Penthouse for sale in Ayuntamiento - Catedral,Cadiz,"220,000","220,000","['41 m² built, 36 m² floor area', '1 bedroom', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Built in 2007', 'No heating', '4th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
94426165,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"327,500","327,500","['198 m² built, 160 m² floor area', '4 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2003', 'No heating', 'Access adapted for persons with reduced mobility', '1st floor exterior', 'with lift']","['Air conditioning', 'no indicado']",[],Professional advertiser
94388712,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"248,000","248,000","['77 m² built, 70 m² floor area', '2 bedrooms', '1 bathroom', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2006', 'No heating', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
94079521,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"210,000","210,000","['120 m² built, 110 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', '1st floor', 'no lift']",['no indicado'],[],Professional advertiser
88568991,Flat / apartment for sale in Zona San José - Varela,Cadiz,"220,000","220,000","['90 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', '2nd floor exterior', 'with lift']",['Consumo:'],[],Professional advertiser
93789918,Flat / apartment for sale in Cortadura - Zona Franca,Cadiz,"750,000","750,000","['188 m² built', '5 bedrooms', '3 bathrooms', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Orientation West', 'Built in 1989', 'No heating', 'Access adapted for persons with reduced mobility', '2nd floor exterior', 'with lift']",['no indicado'],[],Professional advertiser
93548685,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"230,000","230,000","['129 m² built, 115 m² floor area', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation North, East', 'No heating', '2nd floor', 'no lift']",['no indicado'],[],Professional advertiser
93370512,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"143,000","143,000","['54 m² built, 48 m² floor area', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1888', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', 'Ground floor interior', 'with lift']",['en trámite'],[],Professional advertiser
