,house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
968,96415456,Flat / apartment for sale in Zona San José - Varela,Cadiz,"250,000","250,000","['215 m² built, 162 m² floor area', '4 bedrooms', '2 bathrooms', 'Parking space included in the price', 'Second hand/needs renovating', 'Orientation South', 'Built in 1996', 'No heating', 'Mezzanine exterior', 'with lift']",['en trámite'],[],Professional advertiser
969,96316743,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"180,000","180,000","['75 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', '4th floor']",['Consumo:'],[],Professional advertiser
970,96251978,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"104,000","104,000","['31 m² built, 29 m² floor area', '1 bedroom', '1 bathroom', 'Terrace', 'Second hand/good condition', 'No heating', '3rd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
971,96088074,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"280,000","280,000","['103 m² built', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Individual heating: Air conditioning/Heat pump', '1st floor', 'with lift']","['Air conditioning', 'Consumo:']",[],Professional advertiser
972,95948683,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"189,000","189,000","['77 m² built, 72 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation West', 'Built in 1975', 'No heating', 'Access adapted for persons with reduced mobility', '6th floor exterior', 'with lift']",['Consumo:'],[],Professional advertiser
973,95773504,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"350,000","350,000","['182 m² built, 170 m² floor area', '4 bedrooms', '3 bathrooms', 'Balcony', 'Second hand/good condition', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
974,95507610,Flat / apartment for sale in Playa Victoria,Cadiz,"200,000","200,000","['102 m² built', '4 bedrooms', '1 bathroom', 'Second hand/needs renovating', 'Fitted wardrobes', 'Built in 1960', 'No heating', 'Access adapted for persons with reduced mobility', 'Ground floor exterior', 'no lift']",['no indicado'],[],Professional advertiser
975,95598537,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"109,000","109,000","['64 m² built, 58 m² floor area', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1964', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', 'Ground floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
976,95589382,Flat / apartment for sale in calle Barquillas de Lope,"La Caleta - La Viña, Cadiz","74,000","74,000","['43 m² built', '1 bedroom', '1 bathroom', 'Second hand/needs renovating', 'Ground floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
977,94993059,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"136,000","136,000","['70 m² built, 61 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', '3rd floor', 'with lift']",['en trámite'],[],Professional advertiser
978,94848623,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"159,000","159,000","['85 m² built, 73 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', '7th floor', 'with lift']",['en trámite'],[],Professional advertiser
979,93084934,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"138,000","138,000","['60 m² built, 50 m² floor area', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation East', 'Built in 1888', 'Individual heating: Electric', 'Access adapted for persons with reduced mobility', 'Ground floor interior', 'with lift']",['Consumo:'],[],Professional advertiser
980,93401118,Flat / apartment for sale in Playa Victoria,Cadiz,"230,000","230,000","['86 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1969', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
981,90238613,"Flat / apartment for sale in calle Santa Teresa se jesus, 1","Zona Laguna, Cadiz","220,000","220,000","['75 m² built', '3 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Orientation East', 'No heating', '2nd floor exterior', 'no lift']","['Air conditioning', 'en trámite']",[],Private owner
982,89247565,"Flat / apartment for sale in paseo Principe de Asturias, 14","La Paz - Segunda Aguada - Loreto, Cadiz","350,000","350,000","['120 m² built, 110 m² floor area', '3 bedrooms', '2 bathrooms', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '4th floor exterior', 'with lift']","['Air conditioning', 'Green areas', 'no indicado']",[],Private owner
983,96836061,Flat / apartment for sale in calle Libertad,"La Caleta - La Viña, Cadiz","105,000","105,000","['60 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '1st floor interior', 'no lift']",['en trámite'],[],Professional advertiser
984,96817039,Flat / apartment for sale in Loreto,"La Paz - Segunda Aguada - Loreto, Cadiz","157,500","157,500","['70 m² built', '2 bedrooms', '1 bathroom', 'Terrace', 'Second hand/needs renovating', 'Built in 1975', '8th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
985,96739863,Flat / apartment for sale in calle Murillo,"Zona Laguna, Cadiz","220,000","220,000","['63 m² built', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1986', 'Ground floor exterior', 'no lift']","['Green areas', 'en trámite']",[],Professional advertiser
986,96703200,Flat / apartment for sale in calle Grazalema,"La Paz - Segunda Aguada - Loreto, Cadiz","97,000","97,000","['66 m² built', '2 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Built in 1956', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
987,96703187,Flat / apartment for sale in avenida de la Sanidad Pública,"La Paz - Segunda Aguada - Loreto, Cadiz","218,500","218,500","['98 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1973', '5th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
988,96538752,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"259,000","259,000","['103 m² built, 95 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Individual heating', 'Access adapted for persons with reduced mobility', '1st floor', 'with lift']","['Air conditioning', 'no indicado']",[],Professional advertiser
989,96534626,Flat / apartment for sale in Zona San José - Varela,Cadiz,"310,000","310,000","['141 m² built, 129 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
990,96529932,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"89,900","89,900","['38 m² built, 32 m² floor area', '1 bedroom', '1 bathroom', 'Second hand/needs renovating', 'Ground floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
991,96167836,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"130,000","130,000","['70 m² built, 65 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', 'Ground floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
992,96342755,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"175,000","175,000","['60 m² built, 58 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', 'Ground floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
993,96375631,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"150,000","150,000","['65 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1969', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
994,96259125,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"130,000","130,000","['57 m² built, 53 m² floor area', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'No heating', 'Mezzanine exterior', 'no lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
995,96225810,Flat / apartment for sale in Playa Victoria,Cadiz,"700,000","700,000","['155 m² built, 145 m² floor area', '5 bedrooms', '3 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Orientation South, East', 'Built in 1981', 'Individual heating: Natural gas', 'Access adapted for persons with reduced mobility', '7th floor exterior', 'with lift']",['no indicado'],[],Professional advertiser
996,96236767,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"259,000","259,000","['102 m² built, 90 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation North', 'Built in 1961', 'Individual heating', '1st floor', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
997,89672811,Flat / apartment for sale in calle Compañía,"Centro Histórico - Plaza España, Cadiz","82,200","82,200","['58 m² built', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1995', 'Individual heating', 'no lift']",['no indicado'],[],Professional advertiser
